,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Live births (persons),1006645,1024773,952780,965521,922823,874030,796331,825339,750728,862669,862835,867409,848312,769155,674793,655489,636019,623831,633092,639431,649738,709275,730678,715826,721185,715020,691226,675394,641594,620668,640089,559934,496911,495036,476958,438707,451759,496822,465892,444849,470171,471265,484550,436455,435435,438420,406243,357771,326822,302676,272337,260500
Deaths (persons),258589,237528,210071,267460,248807,270657,266857,249254,252298,239986,277284,237481,245767,254563,236445,240418,239256,243504,235779,236818,241616,242270,236162,234257,242439,242838,241149,244693,245825,247734,248740,243813,247524,246463,246220,245874,244162,246482,246113,246942,255405,257396,267221,266257,267692,275895,280827,285534,298820,295110,304948,317800
Natural increase (persons),748056,787245,742709,698061,674016,603373,529474,576085,498430,622683,585551,629928,602545,514592,438348,415071,396763,380327,397313,402613,408122,467005,494516,481569,478746,472182,450077,430701,395769,372934,391349,316121,249387,248573,230738,192833,207597,250340,219779,197907,214766,213869,217329,170198,167743,162525,125416,72237,28002,7566,-32611,-57300
"Natural increase rate (per 1,000 population)",23.2,23.9,22.2,20.5,19.4,17.1,14.8,15.8,13.5,16.6,15.4,16.3,15.3,12.9,10.8,10.2,9.6,9.1,9.5,9.5,9.5,10.8,11.3,10.8,10.6,10.3,9.8,9.3,8.4,7.9,8.2,6.6,5.2,5.1,4.8,4,4.2,5.1,4.4,4,4.3,4.3,4.3,3.4,3.3,3.2,2.5,1.4,0.5,0.1,-0.6,-1.1
"Crude birth rate (per 1,000 population)",31.2,31.2,28.4,28.3,26.6,24.8,22.2,22.7,20.3,23,22.6,22.4,21.6,19.3,16.7,16.1,15.4,15,15.1,15.1,15.2,16.4,16.7,16,16,15.7,15,14.5,13.7,13.2,13.5,11.7,10.3,10.2,9.8,9,9.2,10.1,9.4,9,9.4,9.4,9.6,8.6,8.6,8.6,7.9,7,6.4,5.9,5.3,5.1
"Crude death rate (per 1,000 population)",8,7.2,6.3,7.8,7.2,7.7,7.4,6.8,6.8,6.4,7.3,6.1,6.2,6.4,5.9,5.9,5.8,5.9,5.6,5.6,5.6,5.6,5.4,5.2,5.4,5.3,5.2,5.3,5.2,5.3,5.2,5.1,5.1,5.1,5.1,5.1,5,5,5,5,5.1,5.1,5.3,5.3,5.3,5.4,5.5,5.6,5.8,5.7,5.9,6.2
