,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Life expectancy at birth - total (age),62.3,62.7,63.1,63.5,63.9,64.2,64.6,65,65.3,65.6,66.1,66.7,67.2,67.7,68.3,68.9,69.5,70.1,70.7,71.2,71.7,72.2,72.6,73.1,73.5,73.8,74.2,74.7,75.1,75.5,76,76.5,76.8,77.3,77.8,78.2,78.8,79.2,79.6,80,80.2,80.6,80.9,81.4,81.8,82.1,82.4,82.7,82.7,83.3,83.5
Life expectancy at birth - male (age),58.7,59.1,59.4,59.7,60,60.3,60.6,60.9,61.1,61.4,61.9,62.4,62.9,63.4,64,64.6,65.3,65.9,66.5,67,67.5,67.9,68.4,68.9,69.3,69.7,70.2,70.7,71.2,71.8,72.3,72.9,73.4,73.8,74.3,74.9,75.4,75.9,76.2,76.7,76.8,77.3,77.6,78.1,78.6,79,79.3,79.7,79.7,80.3,80.5
Life expectancy at birth - female (age),65.8,66.3,66.8,67.3,67.8,68.2,68.6,69.1,69.5,69.9,70.4,70.9,71.5,71.9,72.6,73.2,73.8,74.3,74.8,75.3,75.9,76.4,76.8,77.3,77.7,77.9,78.3,78.7,79,79.2,79.7,80.1,80.3,80.8,81.2,81.6,82.1,82.5,83,83.4,83.6,84,84.2,84.6,85,85.2,85.4,85.7,85.7,86.3,86.5
